node_id,alias,expression_raw,expr_type,alias_table,field,primary_table
34,ПенсионныйСчет,уп_ВозвратыПрочихНачисленийНПООстатки.НомерСчета,field_ref,уп_ВозвратыПрочихНачисленийНПООстатки,НомерСчета,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО.Остатки
35,НомерСчета,уп_ВозвратыПрочихНачисленийНПООбороты.НомерСчета,field_ref,уп_ВозвратыПрочихНачисленийНПООбороты,НомерСчета,РегистрНакопления.уп_ВозвратыПрочихНачисленийНПО.Обороты
36,ПенсионныйСчет,уп_ВозвратыПенсийНПООстатки.НомерСчета,field_ref,уп_ВозвратыПенсийНПООстатки,НомерСчета,РегистрНакопления.уп_ВозвратыПенсийНПО.Остатки
37,НомерСчета,уп_ВозвратыПенсийНПООбороты.НомерСчета,field_ref,уп_ВозвратыПенсийНПООбороты,НомерСчета,РегистрНакопления.уп_ВозвратыПенсийНПО.Обороты
38,НомерСчета,уп_НачисленияПенсийОбороты.НомерСчета,field_ref,уп_НачисленияПенсийОбороты,НомерСчета,РегистрНакопления.уп_НачисленияПенсий.Обороты
39,НомерСчета,уп_ПрочиеНачисленияОбороты.НомерСчета,field_ref,уп_ПрочиеНачисленияОбороты,НомерСчета,РегистрНакопления.уп_ПрочиеНачисления.Обороты
40,ПенсионныйСчет,уп_СостоянияДоговораСрезПоследних.ПенсионныйДоговор.ПенсионныйСчет,field_ref,уп_СостоянияДоговораСрезПоследних,ПенсионныйДоговор.ПенсионныйСчет,РегистрСведений.уп_СостоянияДоговора.СрезПоследних
41,НомерСчета,СостоянияПС.НомерСчета,field_ref,СостоянияПС,НомерСчета,РегистрСведений.уп_СостоянияПС.СрезПоследних
42,НомерСчета,уп_СостоянияПС.НомерСчета,field_ref,уп_СостоянияПС,НомерСчета,РегистрСведений.уп_СостоянияПС
43,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР
43,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет.Владелец.ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР
44,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР
45,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет.Владелец.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет.Владелец.ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР
46,ПенсионныйСчет,уп_ПричиныЗакрытияПССрезПоследних.НомерСчета,field_ref,уп_ПричиныЗакрытияПССрезПоследних,НомерСчета,РегистрСведений.уп_ПричиныЗакрытияПС.СрезПоследних
46,ПричинаЗакрытия,уп_ПричиныЗакрытияПССрезПоследних.ПричинаЗакрытия,field_ref,уп_ПричиныЗакрытияПССрезПоследних,ПричинаЗакрытия,РегистрСведений.уп_ПричиныЗакрытияПС.СрезПоследних
46,ИнициативаУчастника,"ВЫБОР
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.Регистратор ССЫЛКА Документ.уп_ЗакрытиеСчетов
			ТОГДА ИСТИНА
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.НомерСчета = уп_ПричиныЗакрытияПССрезПоследних.НомерСчета.Владелец.ПенсионныйСчет
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ",case_when,уп_ПричиныЗакрытияПССрезПоследних,Регистратор,РегистрСведений.уп_ПричиныЗакрытияПС.СрезПоследних
46,ИнициативаУчастника,"ВЫБОР
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.Регистратор ССЫЛКА Документ.уп_ЗакрытиеСчетов
			ТОГДА ИСТИНА
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.НомерСчета = уп_ПричиныЗакрытияПССрезПоследних.НомерСчета.Владелец.ПенсионныйСчет
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ",case_when,Документ,уп_ЗакрытиеСчетов,Документ
46,ИнициативаУчастника,"ВЫБОР
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.Регистратор ССЫЛКА Документ.уп_ЗакрытиеСчетов
			ТОГДА ИСТИНА
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.НомерСчета = уп_ПричиныЗакрытияПССрезПоследних.НомерСчета.Владелец.ПенсионныйСчет
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ",case_when,уп_ПричиныЗакрытияПССрезПоследних,НомерСчета,РегистрСведений.уп_ПричиныЗакрытияПС.СрезПоследних
46,ИнициативаУчастника,"ВЫБОР
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.Регистратор ССЫЛКА Документ.уп_ЗакрытиеСчетов
			ТОГДА ИСТИНА
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.НомерСчета = уп_ПричиныЗакрытияПССрезПоследних.НомерСчета.Владелец.ПенсионныйСчет
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ",case_when,уп_ПричиныЗакрытияПССрезПоследних,НомерСчета.Владелец.ПенсионныйСчет,РегистрСведений.уп_ПричиныЗакрытияПС.СрезПоследних
47,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета,ПенсионныйСчет,ВТ_ПенсионныеСчета
48,ПенсионныйСчет,уп_ВидПенсионногоСчетаСрезПоследних.НомерСчета,field_ref,уп_ВидПенсионногоСчетаСрезПоследних,НомерСчета,РегистрСведений.уп_ВидПенсионногоСчета.СрезПоследних
48,ВидПенсионногоСчета,уп_ВидПенсионногоСчетаСрезПоследних.ВидПенсионногоСчета,field_ref,уп_ВидПенсионногоСчетаСрезПоследних,ВидПенсионногоСчета,РегистрСведений.уп_ВидПенсионногоСчета.СрезПоследних
49,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета,ПенсионныйСчет,ВТ_ПенсионныеСчета
50,ПенсионныйСчет,Резервы.НомерСчета,field_ref,Резервы,НомерСчета,РегистрНакопления.уп_Резервы.Обороты
51,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,field_ref,ВТ_ПенсионныеСчета,ПенсионныйСчет,ВТ_ПенсионныеСчета
52,НомерСчета,уп_СхемаСчетаНаНачало.НомерСчета,field_ref,уп_СхемаСчетаНаНачало,НомерСчета,РегистрСведений.уп_СхемаСчета.СрезПоследних
52,ТипПенсии,"ВЫБОР
		КОГДА уп_СхемаСчетаНаНачало.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПустаяСсылка) 
			ТОГДА уп_СхемаСчетаНаНачало.Схема.ТипПенсионнойСхемы
		ИНАЧЕ уп_СхемаСчетаНаНачало.ТипПенсии
	КОНЕЦ",case_when,уп_СхемаСчетаНаНачало,ТипПенсии,РегистрСведений.уп_СхемаСчета.СрезПоследних
