node_id,node_name,expr_type,expr_text,output_alias,line
78,Часть_1,CASE,"ВЫБОР 
		КОГДА ПодЗапрос.ДатаОпределенияОбязательств <= &НачалоПериода
			ТОГДА СУММА(ПодЗапрос.ВхСумма)
		ИНАЧЕ 0 
	КОНЕЦ",ВхСумма,5
78,Часть_1,CASE,"ВЫБОР
		КОГДА ПодЗапрос.ДатаОкончанияОбязательств ЕСТЬ NULL
			ТОГДА СУММА(ПодЗапрос.ИсхСумма) 
		ИНАЧЕ 0 
	КОНЕЦ",ИсхСумма,6
79,Часть_2,AGGREGATE,"СУММА(ВЫБОР уп_ВозвратыПрочихНачисленийНПО.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_ВозвратыПрочихНачисленийНПО.Сумма
				ИНАЧЕ -уп_ВозвратыПрочихНачисленийНПО.Сумма
			КОНЕЦ)",ВхСумма,5
79,Часть_2,FUNCTION,0,ИсхСумма,6
80,Часть_3,FUNCTION,0,ВхСумма,5
80,Часть_3,AGGREGATE,"СУММА(ВЫБОР уп_ВозвратыПрочихНачисленийНПО.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_ВозвратыПрочихНачисленийНПО.Сумма
				ИНАЧЕ -уп_ВозвратыПрочихНачисленийНПО.Сумма
			КОНЕЦ)",ИсхСумма,6
81,Часть_4,AGGREGATE,"СУММА(ВЫБОР уп_ВозвратыПенсийНПО.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_ВозвратыПенсийНПО.Сумма
				ИНАЧЕ -уп_ВозвратыПенсийНПО.Сумма
			КОНЕЦ)",ВхСумма,5
81,Часть_4,FUNCTION,0,ИсхСумма,6
82,Часть_5,FUNCTION,0,ВхСумма,5
82,Часть_5,AGGREGATE,"СУММА(ВЫБОР уп_ВозвратыПенсийНПО.ВидДвижения
				КОГДА ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
					ТОГДА уп_ВозвратыПенсийНПО.Сумма
				ИНАЧЕ -уп_ВозвратыПенсийНПО.Сумма
			КОНЕЦ)",ИсхСумма,6
83,ВТ_Суммы_ПР_ТранзитныеВиды,AGGREGATE,СУММА(ПодЗапрос.ОстатокВх),ОстатокВх,5
83,ВТ_Суммы_ПР_ТранзитныеВиды,AGGREGATE,СУММА(ПодЗапрос.ОстатокИсх),ОстатокИсх,6
83,ВТ_Суммы_ПР_ТранзитныеВиды,AGGREGATE,СУММА(ПодЗапрос.Взносы),Взносы,7
83,ВТ_Суммы_ПР_ТранзитныеВиды,AGGREGATE,СУММА(ПодЗапрос.ИнвестиционныйДоход),ИнвестиционныйДоход,8
83,ВТ_Суммы_ПР_ТранзитныеВиды,AGGREGATE,СУММА(ПодЗапрос.ЗадолженностьПенсии),ЗадолженностьПенсии,10
83,ВТ_Суммы_ПР_ТранзитныеВиды,AGGREGATE,СУММА(ПодЗапрос.ИнвестДоходКФиксации),ИнвестДоходКФиксации,11
84,ПодЗапрос,FUNCTION,0,Взносы,7
84,ПодЗапрос,FUNCTION,0,ИнвестиционныйДоход,8
84,ПодЗапрос,FUNCTION,0,ЗадолженностьПенсии,10
84,ПодЗапрос,FUNCTION,0,ИнвестДоходКФиксации,11
85,Часть_1,FUNCTION,0,Взносы,7
85,Часть_1,FUNCTION,0,ИнвестиционныйДоход,8
85,Часть_1,FUNCTION,0,ЗадолженностьПенсии,10
85,Часть_1,FUNCTION,0,ИнвестДоходКФиксации,11
86,Часть_2,FUNCTION,0,0,5
86,Часть_2,FUNCTION,0,0,6
86,Часть_2,AGGREGATE,СУММА(уп_Поступления.Сумма),Взносы,7
86,Часть_2,FUNCTION,0,0,8
86,Часть_2,FUNCTION,0,0,10
86,Часть_2,FUNCTION,0,0,11
87,Часть_3,FUNCTION,0,0,5
87,Часть_3,FUNCTION,0,0,6
87,Часть_3,FUNCTION,0,0,7
87,Часть_3,AGGREGATE,СУММА(уп_ИнвестДоход.Сумма),ИнвестиционныйДоход,8
87,Часть_3,FUNCTION,0,0,10
87,Часть_3,FUNCTION,0,0,11
88,Часть_4,FUNCTION,0,0,5
88,Часть_4,FUNCTION,0,0,6
88,Часть_4,FUNCTION,0,0,7
88,Часть_4,FUNCTION,0,0,8
