node_id,node_name,source_name,source_kind,ordinal
50,ВТ_ПенсионныеСчетаРПВ,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ.ОБОРОТЫ,AccumulationRegister,1
51,Подзапрос_9,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
52,ВТ_ТипыПенсийНачалоПериода,РЕГИСТРСВЕДЕНИЙ.УП_СХЕМАСЧЕТА.СРЕЗПОСЛЕДНИХ,InformationRegister,1
53,Подзапрос_10,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
54,ВТ_ВыплатныеНачалоПериода,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС.СРЕЗПЕРВЫХ,InformationRegister,1
54,ВТ_ВыплатныеНачалоПериода,ВТ_ТИПЫПЕНСИЙНАЧАЛОПЕРИОДА,TempTable,2
55,Подзапрос_11,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
56,ВТ_СостояниеНачалоПериода,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
56,ВТ_СостояниеНачалоПериода,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС.СРЕЗПОСЛЕДНИХ,InformationRegister,2
56,ВТ_СостояниеНачалоПериода,ВТ_ТИПЫПЕНСИЙНАЧАЛОПЕРИОДА,TempTable,3
57,Подзапрос_12,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
58,ВТ_ВидОбязательствНачало,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
58,ВТ_ВидОбязательствНачало,ВТ_ВЫПЛАТНЫЕНАЧАЛОПЕРИОДА,TempTable,2
58,ВТ_ВидОбязательствНачало,ВТ_СОСТОЯНИЕНАЧАЛОПЕРИОДА,TempTable,3
59,ВТ_ИзмененияВидаОбязательств_Предв,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
60,уп_СостоянияПС,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС,InformationRegister,1
61,уп_СхемаСчета,РЕГИСТРСВЕДЕНИЙ.УП_СХЕМАСЧЕТА,InformationRegister,1
62,ВТ_ИзмененияВидаОбязательств,ВТ_ИЗМЕНЕНИЯВИДАОБЯЗАТЕЛЬСТВ_ПРЕДВ,TempTable,1
64,Часть_1,ВТ_ВИДОБЯЗАТЕЛЬСТВНАЧАЛО,TempTable,1
65,Часть_2,ВТ_ИЗМЕНЕНИЯВИДАОБЯЗАТЕЛЬСТВ,TempTable,1
