node_id,node_name,join_type,left_source,left_alias,right_source,right_alias,on_expression
84,ПодЗапрос,LEFT JOIN,ВТ_ОстаткиТранзитныеВиды,ВТ_ОстаткиТранзитныеВиды,РегистрНакопления.уп_Поступления,уп_Поступления,уп_Поступления.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
84,ПодЗапрос,LEFT JOIN,ВТ_ОстаткиТранзитныеВиды,ВТ_ОстаткиТранзитныеВиды,РегистрНакопления.уп_ИнвестДоход,уп_ИнвестДоход,уп_ИнвестДоход.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
86,Часть_2,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_Поступления,уп_Поступления,уп_Поступления.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
87,Часть_3,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ИнвестДоход,уп_ИнвестДоход,уп_ИнвестДоход.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
88,Часть_4,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ЗадолженностьПоПенсиям,уп_ЗадолженностьПоПенсиям,уп_ЗадолженностьПоПенсиям.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
89,ВТ_ВыплатыПРТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_НачисленияПенсий,уп_НачисленияПенсий,уп_НачисленияПенсий.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
89,ВТ_ВыплатыПРТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ПрочиеНачисления,уп_ПрочиеНачисления,уп_ПрочиеНачисления.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
89,ВТ_ВыплатыПРТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ПрочиеНачисления,уп_ПрочиеНачисления,уп_ПрочиеНачисления.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
89,ВТ_ВыплатыПРТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ОтвергнутыеПлатежиПенсийНПО,уп_ОтвергнутыеПлатежиПенсийНПО,уп_ОтвергнутыеПлатежиПенсийНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
89,ВТ_ВыплатыПРТранзитныеВиды,LEFT JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,РегистрНакопления.уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО,уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО,уп_ОтвергнутыеПлатежиПрочиеНачисленияНПО.НомерСчета = ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет
